player,position,age,market_value,club,nationality,player_url,mv_millions,season
Luka Modrić,Central Midfield,38,€6.00m,Real Madrid,['Croatia'],https://www.transfermarkt.com/luka-modric/profil/spieler/27992,6.0,2023/24
Dani Ceballos,Central Midfield,27,€6.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/dani-ceballos/profil/spieler/319745,6.0,2023/24
Théo Zidane,Central Midfield,22,€300k,Real Madrid,"['France', 'Spain']",https://www.transfermarkt.com/theo-zidane/profil/spieler/337917,0.3,2023/24
Jude Bellingham,Attacking Midfield,21,€180.00m,Real Madrid,"['England', 'Ireland']",https://www.transfermarkt.com/jude-bellingham/profil/spieler/581678,180.0,2023/24
Nico Paz,Attacking Midfield,19,€10.00m,Real Madrid,"['Argentina', 'Spain']",https://www.transfermarkt.com/nico-paz/profil/spieler/948294,10.0,2023/24
Vinicius Junior,Left Winger,23,€180.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998,180.0,2023/24
Rodrygo,Right Winger,23,€110.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/rodrygo/profil/spieler/412363,110.0,2023/24
Brahim Díaz,Right Winger,24,€40.00m,Real Madrid,"['Morocco', 'Spain']",https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678,40.0,2023/24
Arda Güler,Right Winger,19,€30.00m,Real Madrid,['Türkiye'],https://www.transfermarkt.com/arda-guler/profil/spieler/861410,30.0,2023/24
Kylian Mbappé,Centre-Forward,25,€180.00m,Real Madrid,"['France', 'Cameroon']",https://www.transfermarkt.com/kylian-mbappe/profil/spieler/342229,180.0,2023/24
Joselu,Centre-Forward,34,€5.00m,Real Madrid,"['Spain', 'Germany']",https://www.transfermarkt.com/joselu/profil/spieler/81999,5.0,2023/24
Álvaro Rodríguez,Centre-Forward,19,€3.50m,Real Madrid,"['Uruguay', 'Spain']",https://www.transfermarkt.com/alvaro-rodriguez/profil/spieler/948275,3.5,2023/24
Gonzalo,Centre-Forward,20,€1.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/gonzalo/profil/spieler/935230,1.0,2023/24
Marc-André ter Stegen,Goalkeeper,32,€28.00m,FC Barcelona,['Germany'],https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857,28.0,2023/24
Iñaki Peña,Goalkeeper,25,€8.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/inaki-pena/profil/spieler/283170,8.0,2023/24
Ander Astralaga,Goalkeeper,20,€1.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/ander-astralaga/profil/spieler/709955,1.0,2023/24
Diego Kochen,Goalkeeper,18,€100k,FC Barcelona,"['United States', 'Peru']",https://www.transfermarkt.com/diego-kochen/profil/spieler/938144,0.1,2023/24
Áron Yaakobishvili,Goalkeeper,18,-,FC Barcelona,"['Hungary', 'Georgia']",https://www.transfermarkt.com/aron-yaakobishvili/profil/spieler/938145,0.0,2023/24
Ronald Araujo,Centre-Back,25,€70.00m,FC Barcelona,"['Uruguay', 'Spain']",https://www.transfermarkt.com/ronald-araujo/profil/spieler/480267,70.0,2023/24
Andreas Christensen,Centre-Back,28,€40.00m,FC Barcelona,['Denmark'],https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,40.0,2023/24
Pau Cubarsí,Centre-Back,17,€30.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/pau-cubarsi/profil/spieler/962110,30.0,2023/24
Eric García,Centre-Back,23,€20.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/eric-garcia/profil/spieler/466794,20.0,2023/24
Mikayil Faye,Centre-Back,19,€10.00m,FC Barcelona,['Senegal'],https://www.transfermarkt.com/mikayil-faye/profil/spieler/666974,10.0,2023/24
Iñigo Martínez,Centre-Back,33,€5.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863,5.0,2023/24
Alejandro Balde,Left-Back,20,€40.00m,FC Barcelona,"['Spain', 'Dominican Republic']",https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688,40.0,2023/24
Marcos Alonso,Left-Back,33,€2.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515,2.0,2023/24
Jules Koundé,Right-Back,25,€45.00m,FC Barcelona,"['France', 'Benin']",https://www.transfermarkt.com/jules-kounde/profil/spieler/411975,45.0,2023/24
João Cancelo,Right-Back,30,€25.00m,FC Barcelona,['Portugal'],https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712,25.0,2023/24
Héctor Fort,Right-Back,17,€10.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/hector-fort/profil/spieler/937955,10.0,2023/24
Marc Casadó,Defensive Midfield,20,€2.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/marc-casado/profil/spieler/636695,2.5,2023/24
Oriol Romeu,Defensive Midfield,32,€2.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/oriol-romeu/profil/spieler/66100,2.0,2023/24
Pau Prim,Defensive Midfield,18,€500k,FC Barcelona,['Spain'],https://www.transfermarkt.com/pau-prim/profil/spieler/937956,0.5,2023/24
Gavi,Central Midfield,19,€90.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/gavi/profil/spieler/646740,90.0,2023/24
Pedri,Central Midfield,21,€80.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/pedri/profil/spieler/683840,80.0,2023/24
Frenkie de Jong,Central Midfield,27,€70.00m,FC Barcelona,['Netherlands'],https://www.transfermarkt.com/frenkie-de-jong/profil/spieler/326330,70.0,2023/24
İlkay Gündoğan,Central Midfield,33,€15.00m,FC Barcelona,['Germany'],https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622,15.0,2023/24
Sergi Roberto,Central Midfield,32,€2.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/sergi-roberto/profil/spieler/85370,2.5,2023/24
Unai Hernández,Central Midfield,19,€800k,FC Barcelona,['Spain'],https://www.transfermarkt.com/unai-hernandez/profil/spieler/970633,0.8,2023/24
Aleix Garrido,Central Midfield,20,€500k,FC Barcelona,['Spain'],https://www.transfermarkt.com/aleix-garrido/profil/spieler/709966,0.5,2023/24
Fermín López,Attacking Midfield,21,€30.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/fermin-lopez/profil/spieler/636703,30.0,2023/24
Raphinha,Left Winger,27,€50.00m,FC Barcelona,"['Brazil', 'Italy']",https://www.transfermarkt.com/raphinha/profil/spieler/411295,50.0,2023/24
Ansu Fati,Left Winger,21,€25.00m,FC Barcelona,"['Spain', 'Guinea-Bissau']",https://www.transfermarkt.com/ansu-fati/profil/spieler/466810,25.0,2023/24
Abde Ezzalzouli,Left Winger,22,€9.00m,FC Barcelona,"['Morocco', 'Spain']",https://www.transfermarkt.com/abde-ezzalzouli/profil/spieler/724520,9.0,2023/24
Ángel Alarcón,Left Winger,20,€300k,FC Barcelona,['Spain'],https://www.transfermarkt.com/angel-alarcon/profil/spieler/646739,0.3,2023/24
Lamine Yamal,Right Winger,16,€90.00m,FC Barcelona,"['Spain', 'Equatorial Guinea']",https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958,90.0,2023/24
João Félix,Second Striker,24,€30.00m,FC Barcelona,['Portugal'],https://www.transfermarkt.com/joao-felix/profil/spieler/462250,30.0,2023/24
Ferran Torres,Centre-Forward,24,€30.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/ferran-torres/profil/spieler/398184,30.0,2023/24
Vitor Roque,Centre-Forward,19,€30.00m,FC Barcelona,['Brazil'],https://www.transfermarkt.com/vitor-roque/profil/spieler/943837,30.0,2023/24
Robert Lewandowski,Centre-Forward,35,€15.00m,FC Barcelona,['Poland'],https://www.transfermarkt.com/robert-lewandowski/profil/spieler/38253,15.0,2023/24
Marc Guiu,Centre-Forward,18,€7.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/marc-guiu/profil/spieler/938158,7.5,2023/24
Pau Víctor,Centre-Forward,22,€1.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/pau-victor/profil/spieler/707572,1.5,2023/24
Álex Remiro,Goalkeeper,29,€25.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/alex-remiro/profil/spieler/212862,25.0,2023/24
Gaizka Ayesa,Goalkeeper,23,€300k,Real Sociedad,['Spain'],https://www.transfermarkt.com/gaizka-ayesa/profil/spieler/561702,0.3,2023/24
Unai Marrero,Goalkeeper,22,€300k,Real Sociedad,['Spain'],https://www.transfermarkt.com/unai-marrero/profil/spieler/625657,0.3,2023/24
Aitor Fraga,Goalkeeper,21,€200k,Real Sociedad,['Spain'],https://www.transfermarkt.com/aitor-fraga/profil/spieler/668313,0.2,2023/24
Robin Le Normand,Centre-Back,27,€40.00m,Real Sociedad,"['Spain', 'France']",https://www.transfermarkt.com/robin-le-normand/profil/spieler/351809,40.0,2023/24
Igor Zubeldia,Centre-Back,27,€22.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/igor-zubeldia/profil/spieler/355628,22.0,2023/24
Jon Pacheco,Centre-Back,23,€15.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/jon-pacheco/profil/spieler/580560,15.0,2023/24
Aritz Elustondo,Centre-Back,30,€5.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/aritz-elustondo/profil/spieler/229804,5.0,2023/24
Jon Martín,Centre-Back,18,€2.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/jon-martin/profil/spieler/1018938,2.0,2023/24
Kieran Tierney,Left-Back,27,€12.00m,Real Sociedad,"['Scotland', 'Isle of Man']",https://www.transfermarkt.com/kieran-tierney/profil/spieler/300716,12.0,2023/24
Aihen Muñoz,Left-Back,26,€8.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/aihen-munoz/profil/spieler/517842,8.0,2023/24
Javi Galán,Left-Back,29,€7.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/javi-galan/profil/spieler/448628,7.0,2023/24
Diego Rico,Left-Back,31,€1.50m,Real Sociedad,['Spain'],https://www.transfermarkt.com/diego-rico/profil/spieler/249513,1.5,2023/24
Hamari Traoré,Right-Back,32,€6.00m,Real Sociedad,['Mali'],https://www.transfermarkt.com/hamari-traore/profil/spieler/297070,6.0,2023/24
Jon Aramburu,Right-Back,21,€2.50m,Real Sociedad,"['Venezuela', 'Spain']",https://www.transfermarkt.com/jon-aramburu/profil/spieler/661145,2.5,2023/24
Álvaro Odriozola,Right-Back,28,€2.50m,Real Sociedad,['Spain'],https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730,2.5,2023/24
Iñaki Rupérez,Right-Back,21,€150k,Real Sociedad,['Spain'],https://www.transfermarkt.com/inaki-ruperez/profil/spieler/1055860,0.15,2023/24
Martín Zubimendi,Defensive Midfield,25,€50.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/martin-zubimendi/profil/spieler/423440,50.0,2023/24
Urko González de Zárate,Defensive Midfield,23,€1.20m,Real Sociedad,['Spain'],https://www.transfermarkt.com/urko-gonzalez-de-zarate/profil/spieler/625651,1.2,2023/24
Mikel Merino,Central Midfield,28,€50.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/mikel-merino/profil/spieler/338424,50.0,2023/24
Beñat Turrientes,Central Midfield,22,€20.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/benat-turrientes/profil/spieler/634431,20.0,2023/24
Jon Ander Olasagasti,Central Midfield,23,€1.20m,Real Sociedad,['Spain'],https://www.transfermarkt.com/jon-ander-olasagasti/profil/spieler/625660,1.2,2023/24
Brais Méndez,Attacking Midfield,27,€40.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/brais-mendez/profil/spieler/309110,40.0,2023/24
Arsen Zakharyan,Attacking Midfield,21,€18.00m,Real Sociedad,['Russia'],https://www.transfermarkt.com/arsen-zakharyan/profil/spieler/555143,18.0,2023/24
Pablo Marín,Attacking Midfield,20,€1.50m,Real Sociedad,['Spain'],https://www.transfermarkt.com/pablo-marin/profil/spieler/907813,1.5,2023/24
Jon Magunazelaia,Attacking Midfield,22,€1.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/jon-magunazelaia/profil/spieler/625655,1.0,2023/24
Ander Barrenetxea,Left Winger,22,€20.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/ander-barrenetxea/profil/spieler/616369,20.0,2023/24
Sheraldo Becker,Left Winger,29,€10.00m,Real Sociedad,"['Suriname', 'Netherlands']",https://www.transfermarkt.com/sheraldo-becker/profil/spieler/188888,10.0,2023/24
Martín Merquelanz,Left Winger,29,€600k,Real Sociedad,['Spain'],https://www.transfermarkt.com/martin-merquelanz/profil/spieler/289272,0.6,2023/24
Takefusa Kubo,Right Winger,23,€50.00m,Real Sociedad,['Japan'],https://www.transfermarkt.com/takefusa-kubo/profil/spieler/405398,50.0,2023/24
Mohamed-Ali Cho,Right Winger,20,€10.00m,Real Sociedad,"['France', 'England']",https://www.transfermarkt.com/mohamed-ali-cho/profil/spieler/670847,10.0,2023/24
Robert Navarro,Right Winger,22,€6.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/robert-navarro/profil/spieler/563137,6.0,2023/24
Álex Sola,Right Winger,25,€4.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/alex-sola/profil/spieler/434990,4.0,2023/24
Alberto Dadie,Right Winger,21,€250k,Real Sociedad,['Spain'],https://www.transfermarkt.com/alberto-dadie/profil/spieler/711377,0.25,2023/24
Mikel Oyarzabal,Centre-Forward,27,€45.00m,Real Sociedad,['Spain'],https://www.transfermarkt.com/mikel-oyarzabal/profil/spieler/351478,45.0,2023/24
Umar Sadiq,Centre-Forward,27,€10.00m,Real Sociedad,['Nigeria'],https://www.transfermarkt.com/umar-sadiq/profil/spieler/337715,10.0,2023/24
André Silva,Centre-Forward,28,€6.00m,Real Sociedad,['Portugal'],https://www.transfermarkt.com/andre-silva/profil/spieler/198008,6.0,2023/24
Jon Karrikaburu,Centre-Forward,21,€2.50m,Real Sociedad,['Spain'],https://www.transfermarkt.com/jon-karrikaburu/profil/spieler/711382,2.5,2023/24
Carlos Fernández,Centre-Forward,28,€1.50m,Real Sociedad,['Spain'],https://www.transfermarkt.com/carlos-fernandez/profil/spieler/216464,1.5,2023/24
Bryan Fiabema,Centre-Forward,21,€300k,Real Sociedad,['Norway'],https://www.transfermarkt.com/bryan-fiabema/profil/spieler/581113,0.3,2023/24
Jan Oblak,Goalkeeper,31,€28.00m,Atlético de Madrid,['Slovenia'],https://www.transfermarkt.com/jan-oblak/profil/spieler/121483,28.0,2023/24
Ivo Grbic,Goalkeeper,28,€3.50m,Atlético de Madrid,['Croatia'],https://www.transfermarkt.com/ivo-grbic/profil/spieler/226073,3.5,2023/24
Horațiu Moldovan,Goalkeeper,26,€2.50m,Atlético de Madrid,['Romania'],https://www.transfermarkt.com/horatiu-moldovan/profil/spieler/525438,2.5,2023/24
Antonio Gomis,Goalkeeper,21,€150k,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/antonio-gomis/profil/spieler/930415,0.15,2023/24
Sergio Mestre,Goalkeeper,19,€50k,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/sergio-mestre/profil/spieler/973314,0.05,2023/24
Mario Hermoso,Centre-Back,29,€25.00m,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/mario-hermoso/profil/spieler/281769,25.0,2023/24
José María Giménez,Centre-Back,29,€22.00m,Atlético de Madrid,"['Uruguay', 'Spain']",https://www.transfermarkt.com/jose-maria-gimenez/profil/spieler/250845,22.0,2023/24
Çağlar Söyüncü,Centre-Back,28,€10.00m,Atlético de Madrid,['Türkiye'],https://www.transfermarkt.com/caglar-soyuncu/profil/spieler/320141,10.0,2023/24
Axel Witsel,Centre-Back,35,€3.50m,Atlético de Madrid,"['Belgium', 'Martinique']",https://www.transfermarkt.com/axel-witsel/profil/spieler/35047,3.5,2023/24
Stefan Savic,Centre-Back,33,€2.50m,Atlético de Madrid,"['Montenegro', 'Serbia']",https://www.transfermarkt.com/stefan-savic/profil/spieler/107010,2.5,2023/24
César Azpilicueta,Centre-Back,34,€2.00m,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/cesar-azpilicueta/profil/spieler/57500,2.0,2023/24
Gabriel Paulista,Centre-Back,33,€2.00m,Atlético de Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/gabriel-paulista/profil/spieler/149498,2.0,2023/24
Marco Moreno,Centre-Back,23,€400k,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/marco-moreno/profil/spieler/534376,0.4,2023/24
Ilias Kostis,Centre-Back,21,€300k,Atlético de Madrid,"['Greece', 'Cyprus']",https://www.transfermarkt.com/ilias-kostis/profil/spieler/614988,0.3,2023/24
Reinildo Mandava,Left-Back,30,€9.00m,Atlético de Madrid,['Mozambique'],https://www.transfermarkt.com/reinildo-mandava/profil/spieler/240692,9.0,2023/24
Javi Galán,Left-Back,29,€7.00m,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/javi-galan/profil/spieler/448628,7.0,2023/24
Nahuel Molina,Right-Back,26,€28.00m,Atlético de Madrid,['Argentina'],https://www.transfermarkt.com/nahuel-molina/profil/spieler/424042,28.0,2023/24
Javier Boñar,Right-Back,19,€500k,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/javier-bonar/profil/spieler/741253,0.5,2023/24
Arthur Vermeeren,Defensive Midfield,19,€25.00m,Atlético de Madrid,['Belgium'],https://www.transfermarkt.com/arthur-vermeeren/profil/spieler/926694,25.0,2023/24
Rodrigo De Paul,Central Midfield,30,€30.00m,Atlético de Madrid,"['Argentina', 'Italy']",https://www.transfermarkt.com/rodrigo-de-paul/profil/spieler/255901,30.0,2023/24
Pablo Barrios,Central Midfield,21,€25.00m,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/pablo-barrios/profil/spieler/775605,25.0,2023/24
Koke,Central Midfield,32,€12.00m,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/koke/profil/spieler/74229,12.0,2023/24
Saúl Ñíguez,Central Midfield,29,€7.50m,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/saul-niguez/profil/spieler/148928,7.5,2023/24
Aitor Gismera,Central Midfield,20,€250k,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/aitor-gismera/profil/spieler/646735,0.25,2023/24
Sergio Guerrero,Central Midfield,25,€200k,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/sergio-guerrero/profil/spieler/606570,0.2,2023/24
Marcos Llorente,Right Midfield,29,€30.00m,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/marcos-llorente/profil/spieler/282411,30.0,2023/24
Thomas Lemar,Attacking Midfield,28,€10.00m,Atlético de Madrid,"['France', 'Guadeloupe']",https://www.transfermarkt.com/thomas-lemar/profil/spieler/205562,10.0,2023/24
Samuel Lino,Left Winger,24,€30.00m,Atlético de Madrid,['Brazil'],https://www.transfermarkt.com/samuel-lino/profil/spieler/694928,30.0,2023/24
Rodrigo Riquelme,Left Winger,24,€25.00m,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/rodrigo-riquelme/profil/spieler/461617,25.0,2023/24
Yannick Carrasco,Left Winger,30,€14.00m,Atlético de Madrid,"['Belgium', 'Spain']",https://www.transfermarkt.com/yannick-carrasco/profil/spieler/140776,14.0,2023/24
Marcos Paulo,Left Winger,23,€2.00m,Atlético de Madrid,"['Portugal', 'Brazil']",https://www.transfermarkt.com/marcos-paulo/profil/spieler/612496,2.0,2023/24
Salim El Jebari,Left Winger,20,€1.00m,Atlético de Madrid,"['Morocco', 'Spain']",https://www.transfermarkt.com/salim-el-jebari/profil/spieler/935457,1.0,2023/24
Vitolo,Left Winger,34,€100k,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/vitolo/profil/spieler/67082,0.1,2023/24
Rayane Belaid,Left Winger,19,-,Atlético de Madrid,"['Spain', 'Algeria']",https://www.transfermarkt.com/rayane-belaid/profil/spieler/945500,0.0,2023/24
Ángel Correa,Right Winger,29,€18.00m,Atlético de Madrid,"['Argentina', 'Spain']",https://www.transfermarkt.com/angel-correa/profil/spieler/266807,18.0,2023/24
Álex Calatrava,Right Winger,24,€200k,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/alex-calatrava/profil/spieler/633111,0.2,2023/24
João Félix,Second Striker,24,€30.00m,Atlético de Madrid,['Portugal'],https://www.transfermarkt.com/joao-felix/profil/spieler/462250,30.0,2023/24
Antoine Griezmann,Centre-Forward,33,€25.00m,Atlético de Madrid,['France'],https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781,25.0,2023/24
Álvaro Morata,Centre-Forward,31,€16.00m,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223,16.0,2023/24
Memphis Depay,Centre-Forward,30,€10.00m,Atlético de Madrid,"['Netherlands', 'Ghana']",https://www.transfermarkt.com/memphis-depay/profil/spieler/167850,10.0,2023/24
Adrián Niño,Centre-Forward,20,€500k,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/adrian-nino/profil/spieler/926849,0.5,2023/24
Abde Raihani,Centre-Forward,20,€300k,Atlético de Madrid,"['Morocco', 'Spain']",https://www.transfermarkt.com/abde-raihani/profil/spieler/860062,0.3,2023/24
Paulo Gazzaniga,Goalkeeper,32,€4.00m,Girona FC,"['Argentina', 'Italy']",https://www.transfermarkt.com/paulo-gazzaniga/profil/spieler/195488,4.0,2023/24
Toni Fuidias,Goalkeeper,23,€300k,Girona FC,['Spain'],https://www.transfermarkt.com/toni-fuidias/profil/spieler/623526,0.3,2023/24
Juan Carlos,Goalkeeper,36,€200k,Girona FC,['Spain'],https://www.transfermarkt.com/juan-carlos/profil/spieler/120705,0.2,2023/24
Eric García,Centre-Back,23,€20.00m,Girona FC,['Spain'],https://www.transfermarkt.com/eric-garcia/profil/spieler/466794,20.0,2023/24
Santiago Bueno,Centre-Back,25,€8.00m,Girona FC,"['Uruguay', 'Italy']",https://www.transfermarkt.com/santiago-bueno/profil/spieler/438001,8.0,2023/24
Daley Blind,Centre-Back,34,€3.00m,Girona FC,"['Netherlands', 'England']",https://www.transfermarkt.com/daley-blind/profil/spieler/12282,3.0,2023/24
David López,Centre-Back,34,€2.50m,Girona FC,['Spain'],https://www.transfermarkt.com/david-lopez/profil/spieler/129444,2.5,2023/24
Juanpe,Centre-Back,33,€1.00m,Girona FC,['Spain'],https://www.transfermarkt.com/juanpe/profil/spieler/115333,1.0,2023/24
Bernardo Espinosa,Centre-Back,34,€550k,Girona FC,"['Colombia', 'Spain']",https://www.transfermarkt.com/bernardo-espinosa/profil/spieler/64598,0.55,2023/24
Eric Monjonell,Centre-Back,22,€200k,Girona FC,['Spain'],https://www.transfermarkt.com/eric-monjonell/profil/spieler/787154,0.2,2023/24
Antal Yaakobishvili,Centre-Back,19,-,Girona FC,"['Hungary', 'Georgia']",https://www.transfermarkt.com/antal-yaakobishvili/profil/spieler/923915,0.0,2023/24
Miguel Gutiérrez,Left-Back,22,€25.00m,Girona FC,['Spain'],https://www.transfermarkt.com/miguel-gutierrez/profil/spieler/525299,25.0,2023/24
Yan Couto,Right-Back,22,€25.00m,Girona FC,"['Brazil', 'Portugal']",https://www.transfermarkt.com/yan-couto/profil/spieler/627228,25.0,2023/24
Arnau Martínez,Right-Back,21,€10.00m,Girona FC,['Spain'],https://www.transfermarkt.com/arnau-martinez/profil/spieler/826224,10.0,2023/24
Ibrahima Kébé,Defensive Midfield,23,€500k,Girona FC,['Mali'],https://www.transfermarkt.com/ibrahima-kebe/profil/spieler/785967,0.5,2023/24
